,Symbol,Low,Open,Price,Volume,High,Change,Date
9,GUARANTY,39.35,39.95,39.65,0,39.8,-0.3,7/16/2018
0,GUARANTY,39.5,39.7,39.95,0,39.95,0.25,7/13/2018
1,GUARANTY,39.55,40.05,39.7,0,39.7,-0.35,7/12/2018
2,GUARANTY,40.0,40.1,40.05,0,40.25,-0.05,7/11/2018
3,GUARANTY,41.5,41.5,41.5,0,41.6,0.0,7/9/2018
4,GUARANTY,40.5,40.05,41.5,0,42.0,1.45,7/6/2018
5,GUARANTY,39.8,40.0,40.05,0,40.05,0.05,7/5/2018
6,GUARANTY,39.6,39.6,40.0,0,40.0,0.4,7/4/2018
7,GUARANTY,39.5,40.0,39.6,0,39.75,-0.4,7/3/2018
8,GUARANTY,39.1,40.5,40.0,0,40.0,-0.5,7/2/2018
9,GUARANTY,39.6,40.05,40.5,0,40.5,0.45,6/29/2018
0,GUARANTY,40.05,40.7,40.05,0,40.75,-0.65,6/28/2018
1,GUARANTY,40.25,41.0,40.7,0,40.7,-0.3,6/27/2018
2,GUARANTY,40.5,41.05,41.0,0,41.1,-0.05,6/26/2018
3,GUARANTY,40.1,40.05,40.7,0,40.7,0.65,6/22/2018
4,GUARANTY,40.0,40.65,40.05,0,40.65,-0.6,6/21/2018
5,GUARANTY,40.25,41.0,40.65,0,41.0,-0.35,6/20/2018
6,GUARANTY,40.0,41.5,41.0,0,41.0,-0.5,6/19/2018
7,GUARANTY,41.0,40.8,41.5,0,41.55,0.7,6/14/2018
8,GUARANTY,41.05,41.5,41.5,0,41.6,0.0,6/13/2018
9,GUARANTY,41.0,41.6,41.5,0,43.6,-0.1,6/12/2018
0,GUARANTY,41.1,43.0,41.6,0,43.0,-1.4,6/11/2018
1,GUARANTY,41.15,42.0,41.15,0,42.0,-0.85,6/8/2018
2,GUARANTY,41.8,41.9,42.0,0,42.5,0.1,6/7/2018
3,GUARANTY,41.9,44.0,41.9,0,44.0,-2.1,6/6/2018
4,GUARANTY,41.0,40.4,42.0,0,42.0,1.6,6/5/2018
5,GUARANTY,39.0,38.65,40.4,0,40.4,1.75,6/4/2018
